?交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2020-04-20 16:41:37,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000559202004203439818780,`2c9080c17196b2bb017196bf44590001,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-20 12:08:21,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000564202004206126409827,`2c94854f719236c6017195c583510001,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-到校查询,`{\"commodityId\":\"138076e35b284c70959d928e4d2cc0e1\"},`0.00000,`0.60%,`0.01,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`2,`0.02,`0.00,`0.00,`0.00000,`0.02,`0.00




本次对账，不处理的订单数：0 条
本次对账，无误的订单数：0 条
本次对账，纠正的订单数：0 条
本次对账，本地没有的订单数：2 条
