?交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2020-04-08 18:38:41,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000558202004083691931668,`2c9080c171593a660171595dd7720000,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-入学条件,`{\"commodityId\":\"a98c36963a5149a5ac72b40a4c8071c1\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 11:05:36,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000565202004089805531546,`4028b8817157bccc017157bff1ed0000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 10:40:35,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000571202004087154619144,`4028b8817157a1bc017157a91b550001,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 15:50:06,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000558202004087028512657,`4028b88171588cfb017158c4783f0002,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 15:20:30,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000553202004087299576866,`4028b88171588cfb017158a959090000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-入学条件,`{\"commodityId\":\"7d72a21e979c4ddea4f6f3ca8e14ec45\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 15:42:13,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000555202004088919772578,`4028b88171588cfb017158bd35fc0001,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-入学条件,`{\"commodityId\":\"7d72a21e979c4ddea4f6f3ca8e14ec45\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 12:51:39,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000560202004085473187502,`4028b8817157caa9017158210e140001,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 13:42:08,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000559202004087704206658,`4028b8817157caa90171584f4bb10004,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 16:16:22,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000566202004086879614295,`4028b88171588cfb017158dc77620004,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-入学条件,`{\"commodityId\":\"7d72a21e979c4ddea4f6f3ca8e14ec45\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 12:54:52,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000553202004080904601056,`4028b8817157caa901715823fe550002,`oLH_z5DiPBHCceefoHiHYeh1rkks,`JSAPI,`SUCCESS,`PSBC_DEBIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 13:36:07,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000555202004086477385696,`4028b8817157caa901715849c78f0003,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-08 10:34:22,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000570202004083258647777,`4028b8817157a1bc017157a34ea10000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.10,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.10,`0.00,`
`2020-04-08 12:03:28,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000567202004089105976557,`4028b8817157caa9017157f4f70b0000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-会员,`{\"commodityId\":\"2e188ac18c2845ecb44bda619b3841ae\"},`0.00000,`0.60%,`0.01,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`13,`0.22,`0.00,`0.00,`0.00000,`0.22,`0.00




本次对账，不处理的订单数：0 条
本次对账，无误的订单数：4 条
本次对账，纠正的订单数：0 条
本次对账，本地没有的订单数：9 条
