?交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,应结订单金额,代金券金额,微信退款单号,商户退款单号,退款金额,充值券退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率,订单金额,申请退款金额,费率备注
`2020-04-29 09:38:47,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000563202004296809509311,`2c90809671c389a10171c395f7a00000,`oLH_z5Ev4tbEcpoIt6OdaLKwGHcA,`JSAPI,`SUCCESS,`OTHERS,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-到校查询,`{\"commodityId\":\"ba71086e04e44bd69fc174c2a3d56035\"},`0.00000,`0.60%,`0.01,`0.00,`
`2020-04-29 12:00:36,`wx519fef2ffaa3b3b1,`1582254771,`0,`WEB,`4200000567202004297802543557,`8a748ea671b930a10171c417ae810000,`oLH_z5AIat4ZuHMAoplrVEADhJFE,`JSAPI,`SUCCESS,`CMB_CREDIT,`CNY,`0.01,`0.00,`0,`0,`0.00,`0.00,`,`,`好入学-到校查询,`{\"commodityId\":\"ba71086e04e44bd69fc174c2a3d56035\"},`0.00000,`0.60%,`0.01,`0.00,`
总交易单数,应结订单总金额,退款总金额,充值券退款总金额,手续费总金额,订单总金额,申请退款总金额
`2,`0.02,`0.00,`0.00,`0.00000,`0.02,`0.00




本次对账，不处理的订单数：0 条
本次对账，无误的订单数：1 条
本次对账，纠正的订单数：0 条
本次对账，本地没有的订单数：1 条
